crop	region	model	rcp	2005	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100	2105	2110	2115
potato	SouthernGreatPlains	Avg5GCMs	rcp85	-31.6962296254431	-34.962424498222	-46.8325062598134	-52.3263736949336	-54.7975329592797	-60.5116949779273	-63.468051116312	-66.9922026986256	-69.0646952585694	-73.0929407856383	-75.5957744331491	-77.1304707437223	-78.4156730655811	-80.1352055367404	-82.0937747071979	-83.6661248055648	-82.9287525468867	-83.4300717454548	-83.1446721716294	-82.8386915586414	-82.511983913279	-82.1643612835902	-81.795594069078
potato	NorthernGreatPlains	Avg5GCMs	rcp85	-1.34976481355487	-10.6335346581852	-13.8821979453338	-18.0873566979997	-20.3964743507122	-24.5610724775445	-24.2641629853701	-23.7868058381682	-24.0406419899109	-23.6098619704307	-24.6225831875384	-25.1493851529593	-28.6692541738893	-31.42326365736	-35.5488739196541	-39.5681876677283	-40.9828929590865	-42.6747469313901	-43.4411113925741	-44.1552466019003	-44.8189272193953	-45.4338034856806	-46.0014069373991
potato	Midwest	Avg5GCMs	rcp85	-37.4326323595474	-42.4837336695134	-44.9934116661606	-48.1226996293951	-49.0450917099196	-50.4646143154895	-50.1351810765224	-49.2588275084401	-50.0866144029636	-50.6909716094649	-51.2170100872994	-50.3859438586622	-51.2478256724574	-52.7464573244659	-52.2851061475259	-51.8855182688874	-51.2386326859039	-51.7825138026282	-52.0228604418368	-52.2391323067061	-52.4312948927928	-52.5992981527204	-52.7430763870435
potato	Northeast	Avg5GCMs	rcp85	-0.211620928113121	-1.36735764159625	-2.3965837494337	-3.64837802126055	-5.1409845837302	-6.28243891630259	-5.77672422644447	-4.93189158283396	-5.1794038437196	-5.64194177957769	-4.04970824153974	-3.13418294841022	-4.09785140963926	-5.66848021169732	-5.13522419293333	-6.13293803952436	-9.3699446382269	-10.4387506686335	-11.4922620857663	-12.5194277896581	-13.5209447546548	-14.4974879842616	-15.4497112543504
potato	Northwest	Avg5GCMs	rcp85	0.323263678197128	3.15871444623204	5.10028620681922	7.17254633608158	8.23205388945965	10.0602466468983	10.8608940175339	11.7398600205189	12.9931562737497	12.8580975207447	12.9594895721868	12.30061627256	12.5828096754794	11.3014926236283	11.2842139347377	10.9518598697598	9.48228265471003	9.63460706652679	8.98029790001249	8.38114329961719	7.83435186031729	7.33729594382215	6.8875018923634
potato	Southeast	Avg5GCMs	rcp85	-11.9361368975675	-11.4768374914965	-17.2533896300807	-21.1402682034375	-26.0098091557471	-29.2591491661072	-32.8184025091148	-40.0475365775048	-45.8677734011941	-51.0382790689312	-57.3449886951525	-64.0698273275218	-70.4001085230308	-75.3289560658749	-79.2661401587524	-82.8763098165683	-84.6696817133238	-86.2121566236408	-88.0146665540938	-88.3315307159505	-88.1139710883069	-87.6472380126166	-87.0142920503473
potato	Southwest	Avg5GCMs	rcp85	-1.03420713004477	-3.03471945781077	-4.95585077037505	-5.07546357359654	-6.83829993277984	-9.27063600306943	-9.51403331833746	-10.4670978914012	-10.4278990309813	-11.3926270917946	-13.0510962535634	-13.9166113220086	-16.6621700244201	-17.9976219130298	-20.9156265290635	-22.4623781404133	-23.8381649616001	-24.3704138208257	-24.6889358963814	-24.7735866277761	-24.6193516076272	-24.2191754362517	-23.5638978316418

