crop	region	model	rcp	2005	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100	2105	2110	2115
hay	SouthernGreatPlains	Avg5GCMs	rcp85	-15.6174898649417	-25.2387053074402	-32.1483008973167	-36.1740171004835	-40.2975039349681	-44.2327265572366	-47.4836736150196	-50.2774714911836	-51.4495259495445	-53.3391409396012	-54.1308161281245	-54.7727016367291	-55.5056688274185	-55.6528565115011	-56.2330430947282	-56.600085188073	-57.1310135851286	-57.3790248032736	-56.9595491518432	-56.5234551719152	-56.0704670350382	-55.6002792279867	-55.1125569830359
hay	NorthernGreatPlains	Avg5GCMs	rcp85	-4.04636078099703	-9.74080227503875	-14.6196242063411	-16.4406999012117	-19.8179482903995	-21.5486072750208	-22.2586501999142	-23.2213414695048	-23.3625172119423	-24.0890732199933	-24.2268924487769	-24.3049788424549	-24.5481858102149	-24.2821713439412	-24.438076304936	-24.3960393321986	-24.4912202373493	-24.2614536336283	-23.9040780300363	-23.5343952686672	-23.1523643136688	-22.7579386499156	-22.3510662730928
hay	Midwest	Avg5GCMs	rcp85	-23.1302661445284	-36.0656685056801	-42.5008632938366	-46.4122999505212	-49.7949194372315	-52.147857442902	-54.3030114465266	-56.1566275634229	-57.3903760371854	-58.9865685451224	-59.8664732968463	-61.0186361038641	-61.8553327255516	-62.4600887865388	-62.9993810534056	-63.1765545651231	-63.3549997206607	-63.5466895254637	-63.3280561345811	-63.102244260685	-62.8691427471472	-62.628636978907	-62.3806088006986
hay	Northeast	Avg5GCMs	rcp85	-27.703190865243	-40.4833907965654	-46.2840828552756	-50.140208655253	-52.120025790846	-54.1685295934906	-55.672766607687	-56.7571978881106	-57.5196467480255	-58.3128800670126	-59.1293665754254	-59.4414582675106	-59.9722674447929	-60.3585533303307	-60.2784965555614	-60.3922125450212	-60.3923204846251	-60.9904689782029	-60.6988025758699	-60.4016228476398	-60.0988490369661	-59.7903986624426	-59.4761874893663
hay	Northwest	Avg5GCMs	rcp85	-2.69019989162955	-5.66515521766322	-7.06592171791163	-7.83573288739876	-9.20282352959748	-9.78663303645942	-10.1972961087693	-10.3172915309934	-9.40407840313059	-8.43272062114093	-7.50264833948563	-6.62653539046305	-5.88279033039774	-4.79165836417865	-4.85229810778729	-4.6937013072438	-4.1852310319339	-3.9152354169842	-2.95880926957509	-1.96088284935881	-0.918986872352634	0.169558292502692	1.30766064443539
hay	Southeast	Avg5GCMs	rcp85	-29.1712200340762	-41.7678651484253	-47.1561022630061	-50.8815039962413	-53.8071427836778	-56.3409808535412	-58.2589276159569	-60.0014567458422	-61.2051103192379	-62.411834528908	-63.4011269061593	-64.2876843876133	-65.1306112714758	-65.8523224253427	-66.6075987022806	-67.1661509039809	-67.6422235583739	-68.2625172153882	-68.2778368120518	-68.2912738489267	-68.3028321064599	-68.3125150355713	-68.3203257601079
hay	Southwest	Avg5GCMs	rcp85	-0.046217748327049	-0.391238631629343	-0.361728767179248	-0.07466961660908	0.293862113706456	1.01462263783121	1.56484161359569	2.9067411800519	4.27116497372093	5.44920144253569	7.10730888022162	8.42291405174367	9.66884282068727	11.1060146578796	11.953514592198	12.8036018596498	13.6785542908612	14.6562580901246	16.2078116711237	17.7880065193492	19.3973747963061	21.0364640386671	22.7058374908152

